# Shirakawa 4x8x130 S-pentacube tiling, canonical coords
# piece_no=x,y,z;x,y,z;x,y,z;x,y,z;x,y,z
213=0,4,32;0,5,32;0,6,32;0,6,33;1,4,32
214=0,6,34;0,7,32;0,7,33;0,7,34;1,7,32
215=0,0,33;0,0,34;0,0,35;0,1,33;1,0,35
216=1,0,33;1,0,34;2,0,33;3,0,33;3,1,33
217=1,1,33;1,1,34;1,2,34;1,3,34;2,3,34
218=0,2,33;0,2,34;1,2,33;2,2,33;2,3,33
219=2,0,34;3,0,34;3,1,34;3,2,33;3,2,34
220=0,3,33;0,3,34;0,3,35;0,4,33;1,3,35
221=2,5,33;3,3,33;3,3,34;3,4,33;3,5,33
222=1,6,33;1,6,34;2,6,33;3,6,33;3,7,33
223=1,6,35;1,7,33;1,7,34;1,7,35;2,7,33
224=0,1,34;0,1,35;1,1,35;2,0,35;2,1,35
225=0,4,34;0,4,35;1,4,35;2,3,35;2,4,35
226=2,5,36;3,4,34;3,5,34;3,5,35;3,5,36
227=0,5,34;0,5,35;1,5,34;2,5,34;2,6,34
228=2,7,36;3,6,34;3,7,34;3,7,35;3,7,36
229=1,5,35;2,5,35;2,6,35;2,7,34;2,7,35
230=2,2,35;3,0,35;3,0,36;3,1,35;3,2,35
231=0,2,35;1,2,35;1,2,36;1,2,37;1,3,37
232=2,1,36;3,1,36;3,2,36;3,3,35;3,3,36
233=1,4,36;1,5,36;2,4,36;3,4,35;3,4,36
234=0,6,35;0,6,36;0,6,37;0,7,35;1,6,37
235=1,6,36;1,7,36;2,6,36;3,6,35;3,6,36
236=0,0,36;0,1,36;0,2,36;0,2,37;1,0,36
237=0,0,37;0,1,37;1,0,37;2,0,36;2,0,37
238=1,1,36;1,1,37;2,1,37;3,0,37;3,1,37
239=1,3,38;2,2,36;2,3,36;2,3,37;2,3,38
240=0,2,38;0,3,36;0,3,37;0,3,38;1,3,36
241=0,4,36;0,4,37;0,4,38;0,5,36;1,4,38
242=0,7,36;0,7,37;1,7,37;2,6,37;2,7,37
243=2,1,39;2,2,37;2,2,38;2,2,39;3,2,37
244=2,1,38;3,1,38;3,2,38;3,3,37;3,3,38
245=1,4,37;1,5,37;2,5,37;3,5,37;3,5,38
